wosdept,realdept
 Ecol Evolut & Organismal Biol Dept,"Ecology, Evolution & Organismal Biol"
" Ames Lab, US DOE",Ames Laboratory 
" Coll Vet Med, 1809 South Riverside Dr",College of Veterinary Medicine
" Dept Anim Sci, 239E Kildee Hall",Animal Science
 Bioinformat & Computat Biol Grad Program,Bioinformatics & Computational Biology Graduate Program
 Dept Sociol,Sociology and Criminal Justice
" Agr & Biosyst Engn, 1202 NSRIC",Agricultural and Biosystems Engineering
" Dept Geol & Atmospher Sci, 5019 Agron Hall",Geological and Atmospheric Sciences
 Dept Vet Diagnost & Prod Anim Med,Veterinary Diagnostic and Production Animal Medicine
 411 Morrill Rd,No Data
" Rensselaer, NY 12144 USA; [Nosair, Hussam] New York Independent Syst Operator NYISO, Rensselaer, NY 12144 USA; [Bloom, Aaron] Natl Renewable Energy Lab, St Paul, MN 55107 USA; [Bloom, Aaron] NextEra Analyt, Prod Res & Dev, St Paul, MN 55107 USA; [Osborn, Dale; Okullo, James; Bakke, Jordan] Midcontinent Independent Syst Operator, Eagan, MN 55121 USA; [Caspary, Jay] Grid Strategies, Little Rock, AR USA; [Scribner, Harvey] Southwest Power Pool, Res Dev & Tariff Serv, Little Rock, AR 72223 USA",No Data
 Crit Mat Inst,No Data
" Dept Vet Diagnost & Prod Anim Med, 2203 Lloyd Vet Med Ctr",Veterinary Diagnostic and Production Animal Medicine
"[Yuan, Bin] Iowa State Univ Sci & Technol, Dept Mat Sci & Engn, 2220 Hoover Hall",Materials Science and Engineering
" Ames, IA 50011 USA; [Hasegawa, S.; Imai, K.; Sako, H.; Sato, S.; Tanida, K.] Japan Atom Energy Agcy, Adv Sci Res Ctr, 2-4 Shirakata Shirane, Tokai, Ibaraki 3191195, Japan; [Choi, J. B.; Kim, E-J] Jeonbuk Natl Univ, Jeonju 54896, South Korea; [Mitsuka, G.; Ozawa, K.] High Energy Accelerator Res Org, KEK, Tsukuba, Ibaraki 3050801, Japan; [Han, S. Y.; Hong, B.; Kim, C.; Moon, T.; Mulilo, B.; Yoo, J. H.] Korea Univ, Seoul 02841, South Korea; [Blau, D. S.; Fokin, S. L.; Kazantsev, A., V; Manko, V., I; Nyanin, A. S.; Peressounko, D. Yu; Yushmanov, I. E.] Natl Res Ctr, Kurchatov Inst, Moscow 123098, Russia; [Asano, H.; Murakami, T.] Kyoto Univ, Kyoto 6068502, Japan; [Soltz, R. A.] Lawrence Livermore Natl Lab, Livermore, CA 94550 USA; [Brooks, M. L.; Morales, Y. Corrales; Durham, J. M.; Jiang, X.; Khatiwada, A.; Leitch, M. J.; Li, X.; Lim, S. H.; Liu, M. X.; McCumber, M.; McGaughey, P. L.; McGlinchey, D.; Silva, C. L.; Snowball, M.; Sondheim, W. E.; van Hecke, H. W.; Wong, C. P.] Los Alamos Natl Lab, Los Alamos, NM 87545 USA; [Oskarsson, A.; Silvermyr, D.] Lund Univ, Dept Phys, Box 118, SE-22100 Lund, Sweden; [Tieulent, R.] Univ Lyon 1, IPNL, CNRS IN2P3, Univ Lyon, F-69622 Villeurbanne, France; [Mignerey, A. C.; Sexton, A.] Univ Maryland, College Pk, MD 20742 USA; [Bandara, N. S.; Kawall, D.] Univ Massachusetts, Dept Phys, Amherst, MA 01003 USA; [Aidala, C.; Andrieux, V; Fitzgerald, D.; Lee, S. H.; Lewis, N. A.; Loomis, D. A.; Osborn, J. D.] Univ Michigan, Dept Phys, Ann Arbor, MI 48109 USA; [Fadem, B.] Muhlenberg Coll, Allentown, PA 18104 USA; [Hachiya, T.; Shimomura, M.] Nara Womens Univ, Kita Uoya Nishi, Nara 6308506, Japan; [Blau, D. S.; Riabov, V; Samsonov, V; Taranenko, A.] Natl Res Nucl Univ, Moscow Engn Phys Inst, MEPhI, Moscow 115409, Russia; [DeBlasio, K.; Fields, D. E.; Ottino, G. J.] Univ New Mexico, Albuquerque, NM 87131 USA; [Bok, J. S.; Papavassiliou, V; Pate, S. F.; Perera, G. D. N.; Wang, X. R.; Xu, C.; Yu, H.] New Mexico State Univ, Las Cruces, NM 88003 USA; [Belmont, R.] Univ N Carolina, Phys & Astron Dept, Greensboro, NC 27412 USA; [Danley, T. W.; Frantz, J. E.; Pun, A.] Ohio Univ, Dept Phys & Astron, Athens, OH 45701 USA; [Osborn, J. D.; Read, K. F.; Stankus, P. W.] Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA; [Jouan, D.] Univ Paris Saclay, CNRS IN2P3, IPN Orsay, Univ Paris Sud, BP1, F-91406 Orsay, France; [Yu, H.] Peking Univ, Beijing 100871, Peoples R China; [Ivanishchev, D.; Khanzadeev, A.; Kotov, D.; Riabov, V; Riabov, Y.; Samsonov, V] Petersburg Nucl Phys Inst, PNPI, Gatchina 188300, Leningrad Regio, Russia; [Lim, S. H.] Pusan Natl Univ, Pusan 46241, South Korea; [Akiba, Y.; Asano, H.; Enokizono, A.; En'yo, H.; Goto, Y.; Hachiya, T.; Miyasaka, S.; Mizuno, S.; Mulilo, B.; Murakami, T.; Murata, J.; Nakagawa, I; Nakano, K.; Nukazuka, G.; Park, S.; Seidl, R.; Shibata, T-A; Sumita, T.; Todoroki, T.] RIKEN, Nishina Ctr Accelerator Based Sci, Wako, Saitama 3510198, Japan; [Akiba, Y.; Bathe, S.; Connors, M.; Deshpande, A.; Goto, Y.; Hachiya, T.; Mitsuka, G.; Nakagawa, I; Nouicer, R.; Nukazuka, G.; Seidl, R.; Tanida, K.; Todoroki, T.; Wang, X. R.] Brookhaven Natl Lab, RIKEN BNL Res Ctr, New York, NY 11973 USA; [Enokizono, A.; Kurita, K.; Murata, J.; Nagashima, T.] Rikkyo Univ, Phys Dept, Toshima Ku, 3-34-1 Nishi Ikebukuro, Tokyo 1718501, Japan; [Berdnikov, A.; Berdnikov, Y.; Kotov, D.; Larionova, D.; Mitrankov, Iu; Mitrankova, M.; Radzevich, P., V; Riabov, Y.; Safonov, A. S.; Zharko, S.] St Petersburg State Polytech Univ, St Petersburg 195251, Russia; [Kim, M.; Park, J. S.; Park, S.; Tanida, K.; Yoon, I] Seoul Natl Univ, Dept Phys & Astron, Seoul 151742, South Korea; [Reynolds, D.] SUNY Stony Brook, Chem Dept, Stony Brook, NY 11794 USA; [Roman, V. Canoa; Cervantes, R.; Corliss, R.; Cronin, N.; David, G.; Dehmelt, K.; Deshpande, A.; Dion, A.; Dixit, D.; Drees, A.; Esha, R.; Fan, W.; Feege, N.; Gal, C.; Garg, P.; Ge, H.; Giles, M.; Hanks, J.; Hemmick, T. K.; Jacak, B., V; Ji, Z.; Karthas, S.; Khachatryan, V; Kingan, A.; Kline, P.; Lee, S. H.; Leung, Y. H.; Mondal, M. M.; Novitzky, N.; Park, S.; PerezLara, C. E.; Ramasubramanian, N.; Sharma, D.; Sharma, D.; Sun, J.; Yalcin, S.; Yamaguchi, Y. L.] SUNY Stony Brook, Dept Phys & Astron, Stony Brook, NY 11794 USA; [Nattrass, C.; Read, K. F.; Schmoll, B. K.; Sen, A.; Sorensen, S. P.] Univ Tennessee, Knoxville, TN 37996 USA; [Harvey, M.] Texas Southern Univ, Houston, TX 77004 USA; [Miyasaka, S.; Nagai, K.; Nakano, K.; Shibata, T-A] Tokyo Inst Technol, Dept Phys, Meguro Ku, Tokyo 1528551, Japan; [Esumi, S.; Fukuda, Y.; Inaba, M.; Kudo, S.; Mizuno, S.; Niida, T.; Novitzky, N.; Ozawa, K.; Shioya, T.; Todoroki, T.; Yamamoto, H.] Univ Tsukuba, Tomonaga Ctr Hist Universe, Tsukuba, Ibaraki 305, Japan; [Bichon, L.; Blankenship, B.; Greene, S., V; Huang, S.; Peng, W.; Schaefer, B.; Tarafdar, S.; Velkovska, J.; Xu, Q.] Vanderbilt Univ, Nashville, TN 37235 USA; [Citron, Z.; Milov, A.; Tarafdar, S.; Tserruya, I] Weizmann Inst Sci, IL-76100 Rehovot, Israel; [Novak, T.; Sziklai, J.] Hungarian Acad Sci, Wigner Res Ctr Phys, Inst Particle & Nucl Phys, Wigner RCP,RMKI, POB 49, H-1525 Budapest 114, Hungary; [Do, J. H.; Kang, J. H.; Kwon, Y.; Lee, S.; Lim, S. H.; Moon, T.] Yonsei Univ, IPAP, Seoul 120749, South Korea; [Makek, M.; Vukman, N.] Univ Zagreb, Fac Sci, Dept Phys, Bijenicka C 32, HR-10002 Zagreb, Croatia",No Data
" Ames, IA 50011 USA; [Hasegawa, S.; Imai, K.; Sako, H.; Sato, S.; Tanida, K.] Japan Atom Energy Agcy, Adv Sci Res Ctr, 2-4 Shirakata Shirane, Naka, Ibaraki, Japan; [Choi, J. B.; Kim, E-J] Jeonbuk Natl Univ, Jeonju 54896, South Korea; [Mitsuka, G.; Mulilo, B.; Ozawa, K.] High Energy Accelerator Res Org, KEK, Tsukuba, Ibaraki 3050801, Japan; [Han, S. Y.; Hong, B.; Kim, C.; Moon, T.; Yoo, J. H.] Korea Univ, Seoul 02841, South Korea; [Blau, D. S.; Fokin, S. L.; Kazantsev, A., V; Manko, V., I; Nyanin, A. S.; Peressounko, D. Yu; Pisani, R. P.; Yushmanov, I. E.] Kurchatov Inst, Natl Res Ctr, Moscow 123098, Russia; [Asano, H.] Kyoto Univ, Kyoto 6068502, Japan; [Soltz, R. A.] Lawrence Livermore Natl Lab, Livermore, CA 94550 USA; [Brooks, M. L.; Durham, J. M.; Jiang, X.; Khatiwada, A.; Leitch, M. J.; Li, X.; Lim, S. H.; Liu, M. X.; McCumber, M.; McGaughey, P. L.; McGlinchey, D.; Silva, C. L.; Snowball, M.; Sondheim, W. E.; van Hecke, H. W.; Wong, C. P.] Los Alamos Natl Lab, Los Alamos, NM 87545 USA; [Oskarsson, A.; Silvermyr, D.] Lund Univ, Dept Phys, Box 118, SE-22100 Lund, Sweden; [Tieulent, R.] Univ Lyon, IPNL, CNRS, IN2P3, F-69622 Villeurbanne, France; [Mignerey, A. C.; Sexton, A.] Univ Maryland, College Pk, MD 20742 USA; [Bandara, N. S.; Kawall, D.] Univ Massachusetts, Dept Phys, Amherst, MA 01003 USA; [Aidala, C.; Andrieux, V; Fitzgerald, D.; Lee, S. H.; Lewis, N. A.; Osborn, J. D.] Univ Michigan, Dept Phys, Ann Arbor, MI 48109 USA; [Fadem, B.] Muhlenberg Coll, Allentown, PA 18104 USA; [Hachiya, T.; Shimomura, M.] Nara Womens Univ, Nara 6308506, Japan; [Blau, D. S.; Riabov, V; Samsonov, V] Natl Res Nucl Univ, Moscow Engn Phys Inst, MEPhI, Moscow 115409, Russia; [DeBlasio, K.; Fields, D. E.; Ottino, G. J.] Univ New Mexico, Albuquerque, NM 87131 USA; [Bok, J. S.; Papavassiliou, V; Pate, S. F.; Perera, G. D. N.; Pinkenburg, C.; Vukman, N.; Wang, X. R.; Xu, C.; Yu, H.] New Mexico State Univ, Las Cruces, NM 88003 USA; [Belmont, R.] Univ N Carolina, Phys & Astron Dept, Greensboro, NC 27412 USA; [Danley, T. W.; Frantz, J. E.; Pun, A.] Ohio Univ, Dept Phys & Astron, Athens, OH 45701 USA; [Osborn, J. D.; Read, K. F.; Stankus, P. W.] Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA; [Jouan, D.] Univ Paris Saclay, IPN Orsay, Univ Paris Sud, CNRS IN2P3, BP1, F-91406 Orsay, France; [Yu, H.] Peking Univ, Beijing 100871, Peoples R China; [Ivanishchev, D.; Khanzadeev, A.; Kotov, D.; Riabov, V; Riabov, Y.; Samsonov, V] Petersburg Nucl Phys Inst, Leningrad Reg, PNPI, Gatchina 188300, Russia; [Lim, S. H.] Pusan Natl Univ, Pusan 46241, South Korea; [Akiba, Y.; Asano, H.; Enokizono, A.; Enyo, H.; Goto, Y.; Hachiya, T.; Miyasaka, S.; Mizuno, S.; Murakami, T.; Murata, J.; Nakagawa, I; Nakano, K.; Park, S.; Seidl, R.; Shibata, T-A; Sumita, T.] RIKEN, Nishina Ctr Accelerator Based Sci, Wako, Saitama 3510198, Japan; [Akiba, Y.; Bathe, S.; Connors, M.; Deshpande, A.; Goto, Y.; Hachiya, T.; Mitsuka, G.; Mulilo, B.; Nakagawa, I; Nouicer, R.; Seidl, R.; Tanida, K.; Todoroki, T.; Wang, X. R.] Brookhaven Natl Lab, RIKEN BNL Res Ctr, New York, NY 11973 USA; [Enokizono, A.; Kurita, K.; Murata, J.; Nagashima, T.] Rikkyo Univ, Phys Dept, Toshima Ku, 3-34-1 Nishi Ikebukuro, Tokyo 1718501, Japan; [Berdnikov, A.; Berdnikov, Y.; Borisov, V; Kotov, D.; Larionova, D.; Larionova, M.; Mitrankov, Iu; Morrow, S., I; Radzevich, P., V; Riabov, Y.; Safonov, A. S.; Zharko, S.] St Petersburg State Polytech Univ, St Petersburg 195251, Russia; [Kim, M.; Park, J. S.; Park, S.; Tanida, K.; Yoon, I] Seoul Natl Univ, Dept Phys & Astron, Seoul 151742, South Korea; [Reynolds, D.] SUNY Stony Brook, Chem Dept, New York, NY 11794 USA; [Roman, V. Canoa; Cervantes, R.; Corliss, R.; Cronin, N.; David, G.; Dehmelt, K.; Deshpande, A.; Dion, A.; Dixit, D.; Drees, A.; Esha, R.; Fan, W.; Feege, N.; Gal, C.; Garg, P.; Ge, H.; Giles, M.; Hanks, J.; Hemmick, T. K.; Jacak, B., V; Ji, Z.; Karthas, S.; Khachatryan, V; Kingan, A.; Kline, P.; Lee, S. H.; Leung, Y. H.; Mondal, M. M.; Novitzky, N.; Park, S.; PerezLara, C. E.; Ramasubramanian, N.; Sharma, D.; Sharma, D.; Sun, J.; Yalcin, S.; Yamaguchi, Y. L.] SUNY Stony Brook, Dept Phys & Astron, New York, NY 11794 USA; [Nattrass, C.; Read, K. F.; Schmoll, B. K.; Sen, A.; Sorensen, S. P.] Univ Tennessee, Knoxville, TN 37996 USA; [Miyasaka, S.; Murakami, T.; Nagai, K.; Nakano, K.; Shibata, T-A] Tokyo Inst Technol, Dept Phys, Meguro Ku, Tokyo 1528551, Japan; [Esumi, S.; Fukuda, Y.; Inaba, M.; Kudo, S.; Mizuno, S.; Niida, T.; Novitzky, N.; Ozawa, K.; Shioya, T.; Todoroki, T.; Yamamoto, H.] Univ Tsukuba, Tomonaga Ctr Hist Universe, Tsukuba, Ibaraki 305, Japan; [Bichon, L.; Blankenship, B.; Greene, S., V; Huang, S.; Peng, W.; Petti, R.; Schaefer, B.; Tarafdar, S.; Velkovska, J.; Xu, Q.] Vanderbilt Univ, Nashville, TN 37235 USA; [Citron, Z.; Milov, A.; Tarafdar, S.; Tserruya, I] Weizmann Inst Sci, IL-76100 Rehovot, Israel; [Csorgo, T.; Novak, T.; Sziklai, J.] Hungarian Acad Sci Wigner RCP, Wigner Res Ctr Phys, Inst Particle & Nucl Phys, Budapest 114,POB 49, H-1525 Budapest, Hungary; [Do, J. H.; Kang, J. H.; Kwon, Y.; Lee, S.; Lim, S. H.; Moon, T.] Yonsei Univ, IPAP, Seoul 120749, South Korea; [Makek, M.] Univ Zagreb, Fac Sci, Dept Phys, Bijenicka C 32, HR-10002 Zagreb, Croatia",No Data
